adiY	adiA
arcA	rplD
arcA	rplP
arcA	rplV
arcA	rplW
arcA	rpmC
arcA	rpsC
arcA	rpsJ
arcA	rpsQ
arcA	rpsS
arcA	sdhA
arcA	sdhB
arcA	sdhC
arcA	sdhD
arcA	sodA
arcA	ssb
arcA	sucA
arcA	sucB
arcA	sucC
arcA	sucD
arcA	uvrA
arcA	focA
arcA	rhaT
arcA	acnA
arcA	ubiC
arcA	ubiA
arcA	appB
arcA	appC
arcA	treC
arcA	cydD
arcA	fadD
arcA	caiD
arcA	caiC
arcA	caiB
arcA	caiA
arcA	caiT
arcA	ydeA
arcA	nuoM
arcA	nuoF
arcA	yfiD
arcA	hybA
arcA	hybB
arcA	hybC
arcA	hybD
arcA	hybE
arcA	hybF
arcA	hybG
arcA	lldP
arcA	lldR
arcA	lldD
arcA	nuoA
arcA	nuoB
arcA	nuoC
arcA	nuoE
arcA	nuoG
argP	recF
argP	nrdB
argP	nrdA
argP	dnaN
argP	dnaA
argP	dapB
argP	argO
argR	argA
argR	gltF
argR	argE
argR	argH
argR	rimP
argR	rbfA
argR	truB
argR	rpsO
argR	pnp
argR	nusA
argR	infB
argR	hisP
argR	gltD
argR	gltB
argR	carB
argR	artP
argR	artI
argR	artQ
argR	artM
argR	artJ
argR	hisJ
argR	hisQ
argR	metY
argR	astE
argR	astB
argR	astD
argR	astA
argR	astC
argR	hisM
argR	argB
argR	argC
argR	argD
argR	argF
argR	argG
argR	argI
argR	carA
ascG	ascB
ascG	ascF
ascG	htpG
ascG	prpR
asnC	asnA
asnC	mnmG
asnC	mioC
atoC	atoD
atoC	atoA
atoC	atoE
atoC	atoB
betI	betT
betI	betB
betI	betA
bglJ	bglG
bglJ	bglF
bglJ	bglB
cadC	cadB
cadC	cadA
caiF	caiA
caiF	caiT
caiF	fixA
caiF	fixC
caiF	fixX
caiF	caiE
caiF	caiB
caiF	caiC
caiF	caiD
caiF	fixB
cbl	ssuB
cbl	tauD
cbl	tauA
cbl	tauB
cbl	ssuE
cbl	ssuC
cbl	ssuD
cbl	ssuA
cbl	tauC
cdaR	garL
cdaR	garK
cdaR	garR
cdaR	gudP
cdaR	garP
cdaR	rnpB
cdaR	gudD
cdaR	gudX
cdaR	garD
chbR	chbB
chbR	chbC
chbR	chbG
chbR	chbF
chbR	chbA
crp	murP
crp	hyfC
crp	hyfD
crp	hyfE
crp	hyfF
crp	hyfG
crp	hyfH
crp	hyfI
crp	hyfJ
crp	hyfR
crp	focB
crp	csiE
crp	csiD
crp	glcC
crp	aer
crp	tdcG
crp	tdcF
crp	tdcE
crp	kbaZ
crp	agaV
crp	yhcH
crp	nanK
crp	nanE
crp	hofP
crp	hofO
crp	hofN
crp	hofM
crp	gntX
crp	nfuA
crp	dcuR
crp	ulaA
crp	ulaD
crp	ulaE
crp	ulaF
crp	idnR
crp	idnO
crp	idnD
crp	nanM
crp	nanC
crp	uxaC
crp	srlA
crp	mhpA
crp	mhpB
crp	mhpC
crp	mhpD
crp	mhpF
crp	azuC
crp	ykgR
crp	ulaB
crp	ulaC
crp	idnT
crp	gntP
crp	caiE
crp	gntK
crp	gntU
crp	uxaA
crp	exuT
crp	dctA
crp	hpt
crp	uxuB
crp	uxuR
crp	xylF
crp	xylR
crp	metY
crp	spf
crp	gadA
crp	cyaR
crp	nanT
crp	caiF
crp	prpR
crp	prpB
crp	prpC
crp	prpD
crp	prpE
crp	mhpE
crp	fiu
crp	csgG
crp	csgF
crp	csgE
crp	hlyE
crp	feaR
crp	maoC
crp	paaA
crp	paaB
crp	paaC
crp	paaD
crp	paaE
crp	paaF
crp	paaG
crp	paaH
crp	paaI
crp	paaJ
crp	paaK
crp	gadC
crp	lsrK
crp	lsrR
crp	lsrA
crp	lsrC
crp	lsrD
crp	lsrB
crp	lsrF
crp	lsrG
crp	tam
crp	ynfK
crp	dgsA
crp	uidC
crp	gatZ
crp	yeiT
crp	murQ
crp	rbsK
crp	rbsR
crp	relA
crp	rhaR
crp	modB
crp	dcuB
crp	zraS
crp	aceA
crp	aceB
crp	aceE
crp	aceF
crp	aceK
crp	agp
crp	aldA
crp	ansB
crp	araA
crp	araB
crp	araC
crp	araD
crp	araE
crp	araF
crp	araG
crp	araH
crp	araJ
crp	argG
crp	aroA
crp	ascB
crp	ascF
crp	aspA
crp	bglB
crp	bglF
crp	bglG
crp	cdd
crp	chbB
crp	chbC
crp	chbA
crp	chbR
crp	chbF
crp	modC
crp	cirA
crp	cpdB
crp	crr
crp	cstA
crp	cyaA
crp	cyoA
crp	cyoB
crp	cyoC
crp	cyoD
crp	cyoE
crp	cysG
crp	cytR
crp	deoA
crp	deoB
crp	gatC
crp	gatD
crp	gatY
crp	modA
crp	mpl
crp	hupB
crp	zraR
crp	ilvB
crp	ilvN
crp	infB
crp	rpoS
crp	lacA
crp	lacY
crp	lacZ
crp	lamB
crp	lpd
crp	malE
crp	malF
crp	malG
crp	malI
crp	malK
crp	malM
crp	malT
crp	malX
crp	malY
crp	manX
crp	manY
crp	manZ
crp	chpR
crp	mdh
crp	melA
crp	melB
crp	metK
crp	mglA
crp	mglB
crp	mglC
crp	mtlA
crp	mtlD
crp	nagA
crp	nagB
crp	nagD
crp	nagE
crp	nagC
crp	nanA
crp	nirB
crp	nirC
crp	nirD
crp	nrdA
crp	nrdB
crp	nupG
crp	nusA
crp	ompA
crp	ompF
crp	pflB
crp	pgk
crp	pncB
crp	pnp
crp	ppiA
crp	ptsG
crp	ptsH
crp	ptsI
crp	putP
crp	rbsA
crp	rbsB
crp	rbsC
crp	rbsD
crp	caiB
crp	caiA
crp	caiT
crp	fixA
crp	fixB
crp	fixC
crp	fixX
crp	marB
crp	proP
crp	uidB
crp	galM
crp	yfiD
crp	hofC
crp	rhaD
crp	rhaA
crp	rhaB
crp	sbmC
crp	actP
crp	yjcH
crp	mtlR
crp	nupC
crp	hofB
crp	ppdD
crp	treB
crp	galP
crp	idnK
crp	chbG
crp	mdtE
crp	mdtF
crp	gadX
crp	xylG
crp	xylH
crp	yiaJ
crp	yiaK
crp	yiaL
crp	yiaM
crp	yiaN
crp	yiaO
crp	lyxK
crp	sgbH
crp	sgbU
crp	sgbE
crp	aldB
crp	acnB
crp	gntT
crp	lhgO
crp	gatA
crp	gatB
crp	glpD
crp	glpE
crp	glpF
crp	glpG
crp	glpK
crp	glpQ
crp	glpR
crp	glpT
crp	gltA
crp	gltB
crp	gltD
crp	grpE
crp	guaA
crp	guaB
crp	gyrA
crp	hupA
crp	sucB
crp	sucC
crp	sucD
crp	tdcA
crp	tdcB
crp	tdcC
crp	tnaA
crp	tnaB
crp	trg
crp	trxA
crp	tsx
crp	udp
crp	ugpA
crp	ugpB
crp	ugpC
crp	ugpE
crp	ugpQ
crp	uhpT
crp	uidA
crp	uxaB
crp	uxuA
crp	xseA
crp	xylA
crp	xylB
crp	pdhR
crp	entH
crp	ubiG
crp	hyfA
crp	tdcD
crp	truB
crp	rbfA
crp	rimP
crp	yhfA
crp	psiE
crp	dcuA
crp	melR
crp	chpA
crp	focA
crp	ivbL
crp	tnaC
crp	hyfB
crp	yeiA
crp	dusB
crp	rhaT
crp	malS
crp	acnA
crp	gabD
crp	gabP
crp	glgS
crp	osmY
crp	treC
crp	dadA
crp	dadX
crp	marR
crp	acs
crp	gadB
crp	gltF
crp	glpX
crp	fadD
crp	ychH
crp	gadE
crp	caiD
crp	caiC
crp	entC
crp	entD
crp	entE
crp	envZ
crp	fadL
crp	fbaA
crp	fecA
crp	fecB
crp	fecC
crp	fecD
crp	fecE
crp	fepA
crp	fucA
crp	fucI
crp	fucK
crp	fucO
crp	fucP
crp	fucR
crp	fucU
crp	fumA
crp	fumB
crp	gabT
crp	galE
crp	galK
crp	galS
crp	galT
crp	gapA
crp	epd
crp	gcd
crp	gdhA
crp	glgA
crp	glgC
crp	glgP
crp	glnA
crp	glnG
crp	glnL
crp	glpA
crp	glpB
crp	glpC
crp	rhaS
crp	rpoH
crp	rpsO
crp	sdhA
crp	sdhB
crp	sdhC
crp	sdhD
crp	serA
crp	serC
crp	sfsA
crp	sodA
crp	sodB
crp	sohB
crp	speC
crp	srlE
crp	srlB
crp	srlD
crp	gutM
crp	gutQ
crp	srlR
crp	sucA
crp	deoC
crp	deoD
crp	dksA
crp	dsdA
crp	dsdX
crp	entA
crp	entB
csiR	csiD
csiR	lhgO
csiR	gabP
csiR	gabD
csiR	gabT
cspA	gyrA
cueR	moaA
cueR	moaB
cueR	moaD
cueR	moaE
cueR	moaC
cueR	cueO
cueR	copA
cysB	tauA
cysB	tauB
cysB	tauC
cysB	ssuC
cysB	ssuD
cysB	ssuA
cysB	ssuE
cysB	hslJ
cysB	cbl
cysB	tauD
cysB	ssuB
cysB	cysP
cysB	cysU
cysB	cysW
cysB	cysN
cysB	cysM
cysB	cysK
cysB	cysJ
cysB	cysI
cysB	cysH
cysB	cysD
cysB	cysC
cysB	cysA
cytR	cdd
cytR	deoA
cytR	deoB
cytR	nupC
cytR	deoC
cytR	tsx
cytR	rpoH
cytR	ppiA
cytR	nupG
cytR	deoD
cytR	udp
dcuR	fumB
dcuR	frdD
dcuR	frdC
dcuR	frdB
dcuR	frdA
dcuR	dcuB
dcuR	dctA
deoR	deoA
deoR	tsx
deoR	nupG
deoR	deoD
deoR	deoC
deoR	deoB
dgsA	ptsI
dgsA	ynfK
dgsA	crr
dgsA	malT
dgsA	manX
dgsA	manY
dgsA	ptsG
dgsA	ptsH
dgsA	manZ
dnaA	yjeV
dnaA	rpoH
dnaA	recF
dnaA	polA
dnaA	nrdB
dnaA	nrdA
dnaA	guaA
dnaA	guaB
dnaA	aldA
dnaA	dnaN
dsdC	dsdX
dsdC	dsdA
envY	ompF
envY	ompC
evgA	mdtF
evgA	emrY
evgA	ydeO
evgA	yneN
evgA	ydeP
evgA	yegR
evgA	emrK
evgA	frc
evgA	yfdX
evgA	mdtE
evgA	evgS
evgA	acrD
evgA	gadE
exuR	uxaA
exuR	exuT
exuR	uxuB
exuR	uxuR
exuR	uxaC
exuR	uxaB
exuR	uxuA
fabR	fabA
fabR	fabB
fadR	fadD
fadR	fadE
fadR	fadJ
fadR	fadI
fadR	fadL
fadR	iclR
fadR	fabA
fadR	fabB
fadR	fadA
fadR	uspA
fadR	fadB
feaR	feaB
fhlA	fdhF
fhlA	hycI
fhlA	hycA
fhlA	hycB
fhlA	hycC
fhlA	hycD
fhlA	hycE
fhlA	hycF
fhlA	hycG
fhlA	hycH
fhlA	hypA
fhlA	hypB
fhlA	hypC
fhlA	hypD
fhlA	hypE
fhlA	hyfA
fhlA	hyfB
fhlA	hypF
fhlA	hydN
fhlA	hyfC
fhlA	hyfD
fhlA	hyfE
fhlA	hyfF
fhlA	hyfG
fhlA	hyfH
fhlA	hyfI
fhlA	hyfJ
fhlA	hyfR
fhlA	focB
fnr	aceE
fnr	aceF
fnr	ackA
fnr	adhE
fnr	aldA
fnr	ansB
fnr	arcA
fnr	aspA
fnr	cadC
fnr	cheB
fnr	cheR
fnr	cheY
fnr	cheZ
fnr	moeA
fnr	moeB
fnr	cydA
fnr	cydB
fnr	cyoA
fnr	cyoB
fnr	cyoC
fnr	cyoD
fnr	cyoE
fnr	cysG
fnr	dmsA
fnr	gltF
fnr	nikR
fnr	pepT
fnr	caiA
fnr	caiT
fnr	fixA
fnr	fixB
fnr	fixC
fnr	fixX
fnr	moaA
fnr	moaB
fnr	moaD
fnr	moaE
fnr	ydeJ
fnr	moaC
fnr	nuoM
fnr	nuoF
fnr	nrfA
fnr	yfiD
fnr	gcvP
fnr	nrfB
fnr	nrfC
fnr	nrfD
fnr	nrfE
fnr	nrfF
fnr	nrfG
fnr	yeiL
fnr	ccmH
fnr	ccmG
fnr	ccmF
fnr	ccmE
fnr	ccmC
fnr	ccmB
fnr	ccmA
fnr	napC
fnr	napB
fnr	napH
fnr	napG
fnr	napA
fnr	napF
fnr	nikA
fnr	nikB
fnr	nikC
fnr	nikD
fnr	nikE
fnr	nuoA
fnr	nuoB
fnr	nuoC
fnr	nuoE
fnr	nuoG
fnr	nuoH
fnr	nuoI
fnr	nuoJ
fnr	nuoK
fnr	nuoL
fnr	nuoN
fnr	feoA
fnr	feoB
fnr	ompX
fnr	uraA
fnr	napD
fnr	ccmD
fnr	pitA
fnr	dcuB
fnr	cydC
fnr	garL
fnr	bcsZ
fnr	bcsB
fnr	ssuB
fnr	ychO
fnr	prmC
fnr	norW
fnr	caiE
fnr	dppB
fnr	dppC
fnr	dppD
fnr	dppF
fnr	uxaA
fnr	garP
fnr	emrY
fnr	rnpB
fnr	gadA
fnr	caiF
fnr	ybdN
fnr	dcuC
fnr	hcr
fnr	hcp
fnr	ssuC
fnr	ssuD
fnr	ssuA
fnr	ssuE
fnr	iraM
fnr	hlyE
fnr	puuA
fnr	tpx
fnr	ynfE
fnr	ynfF
fnr	ynfG
fnr	ynfH
fnr	dmsD
fnr	ydhT
fnr	ydhU
fnr	ydhX
fnr	ydhW
fnr	ydhV
fnr	ydhY
fnr	yecR
fnr	emrK
fnr	hyfC
fnr	hyfD
fnr	hyfE
fnr	hyfF
fnr	hyfG
fnr	hyfH
fnr	hyfI
fnr	hyfJ
fnr	hyfR
fnr	focB
fnr	norV
fnr	xdhA
fnr	xdhB
fnr	xdhC
fnr	scpB
fnr	scpC
fnr	yqjI
fnr	aer
fnr	caiD
fnr	caiC
fnr	caiB
fnr	tdcF
fnr	tdcE
fnr	ysgA
fnr	dcuR
fnr	dcuS
fnr	ytfE
fnr	iraD
fnr	uxaC
fnr	nrdG
fnr	ybdZ
fnr	dmsB
fnr	dmsC
fnr	dppA
fnr	entF
fnr	acrE
fnr	acrF
fnr	fdhF
fnr	fepE
fnr	fes
fnr	fhlA
fnr	frdA
fnr	frdB
fnr	frdC
fnr	frdD
fnr	fumA
fnr	fumB
fnr	gcvH
fnr	glpA
fnr	glpB
fnr	glpC
fnr	glpQ
fnr	glpT
fnr	gltB
fnr	gltD
fnr	hemA
fnr	hmp
fnr	hypB
fnr	hypC
fnr	hypD
fnr	hypE
fnr	katG
fnr	lpd
fnr	malP
fnr	malQ
fnr	narG
fnr	narH
fnr	narI
fnr	narJ
fnr	narK
fnr	narL
fnr	narX
fnr	ndh
fnr	nirB
fnr	nirC
fnr	nirD
fnr	pflB
fnr	pstS
fnr	phoU
fnr	prfA
fnr	gadW
fnr	gadX
fnr	yhjA
fnr	pstA
fnr	pstB
fnr	pstC
fnr	purM
fnr	purN
fnr	rplB
fnr	rplC
fnr	rplD
fnr	rplM
fnr	rplP
fnr	rplS
fnr	rplT
fnr	rplV
fnr	rplW
fnr	rpmC
fnr	rpsC
fnr	rpsI
fnr	rpsJ
fnr	rpsP
fnr	rpsQ
fnr	rpsS
fnr	sdhA
fnr	sdhB
fnr	sdhC
fnr	sdhD
fnr	sodA
fnr	sucA
fnr	sucB
fnr	sucC
fnr	sucD
fnr	tap
fnr	tar
fnr	tdcA
fnr	tdcB
fnr	tdcC
fnr	trmD
fnr	pdhR
fnr	ompW
fnr	hyfA
fnr	rimM
fnr	tdcD
fnr	garK
fnr	garR
fnr	dcuA
fnr	fdnG
fnr	fdnH
fnr	fdnI
fnr	ycaC
fnr	focA
fnr	pheM
fnr	hyfB
fnr	ygbA
fnr	acnA
fnr	upp
fnr	ubiC
fnr	ubiA
fnr	cydD
fnr	nrdD
fnr	gcvT
fnr	scpA
fnr	argK
fnr	tdcG
fruR	aceA
fruR	fruB
fruR	aceK
fruR	adhE
fruR	aroP
fruR	crr
fruR	cydA
fruR	cydB
fruR	cysG
fruR	eda
fruR	edd
fruR	eno
fruR	fbaA
fruR	fruA
fruR	fruK
fruR	gapA
fruR	epd
fruR	icd
fruR	manX
fruR	manY
fruR	manZ
fruR	mtlA
fruR	mtlD
fruR	nirB
fruR	nirC
fruR	nirD
fruR	pck
fruR	pfkA
fruR	pgk
fruR	ppsA
fruR	ptsH
fruR	ptsI
fruR	pykF
fruR	yahA
fruR	acnA
fruR	hypF
fruR	mtlR
fruR	acnB
fruR	glk
fruR	aceB
fucR	fucA
fucR	fucI
fucR	fucK
fucR	fucU
fucR	fucP
fucR	fucO
gadE	purA
gadE	fabZ
gadE	hdeA
gadE	hdeB
gadE	yhiD
gadE	gadB
gadE	hdeD
gadE	gltF
gadE	mdtE
gadE	mdtF
gadE	gadW
gadE	gadX
gadE	gadA
gadE	gadC
gadE	cadA
gadE	cadB
gadE	cyoA
gadE	cyoB
gadE	cyoC
gadE	cyoD
gadE	cyoE
gadE	lpxD
gadE	fliC
gadE	gltB
gadE	gltD
gadE	gnd
gadE	hlpA
gadE	lpxA
gadW	slp
gadW	mdtE
gadW	mdtF
gadW	gadX
gadW	gadA
gadW	gadY
gadW	gadC
gadW	hdeA
gadW	hdeB
gadW	yhiD
gadW	gadB
gadW	gadE
gadW	dctR
gadX	gadE
gadX	gadB
gadX	yhiD
gadX	hdeB
gadX	hdeA
gadX	lon
gadX	rpoS
gadX	gadC
gadX	hdeD
gadX	cadB
gadX	cadA
gadX	asnB
gadX	amtB
gadX	dctR
gadX	slp
gadX	glnK
gadX	mdtE
gadX	mdtF
gadX	ybaT
gadX	ybaS
gadX	gadY
gadX	gadA
gadX	gadW
galR	galP
galR	galM
galR	mglC
galR	mglB
galR	galE
galR	galT
galR	galS
galR	galK
galR	mglA
galS	galP
galS	galM
galS	mglC
galS	mglB
galS	mglA
galS	galT
galS	galR
galS	galE
galS	galK
gatR_1	gatY
gatR_1	gatD
gatR_1	gatC
gatR_1	gatB
gatR_1	gatA
gatR_1	gatZ
gatR_2	gatY
gatR_2	gatD
gatR_2	gatC
gatR_2	gatB
gatR_2	gatA
gatR_2	gatZ
gcvA	gcvH
gcvA	gcvT
gcvA	gcvB
gcvA	gcvP
glcC	glcD
glcC	glcE
glcC	glcG
glcC	glcF
glcC	glcB
glcC	glcA
glpR	glpX
glpR	glpT
glpR	glpQ
glpR	glpK
glpR	glpF
glpR	glpD
glpR	glpC
glpR	glpA
glpR	glpB
glrR	glmY
gntR	eda
gntR	edd
gntR	idnD
gntR	idnO
gntR	idnR
gntR	nfuA
gntR	gntX
gntR	gntU
gntR	gntK
gntR	idnT
gntR	gntT
gntR	idnK
gutM	srlB
gutM	srlD
gutM	gutQ
gutM	srlR
gutM	srlA
gutM	srlE
srlR	srlA
srlR	srlB
srlR	srlD
srlR	gutM
srlR	gutQ
srlR	srlE
hipA	hipB
hipB	hipA
hupA	mtr
hupB	seqA
hupB	pgm
hupB	galM
hupB	tyrP
hupB	mtr
hupB	galT
hupB	galK
hupB	galE
hupA	seqA
hupA	galE
hupA	galK
hupA	galT
hupA	tyrP
hupA	galM
hupA	pgm
hyfR	focB
hyfR	hyfJ
hyfR	hyfI
hyfR	hyfH
hyfR	hyfA
hyfR	hyfF
hyfR	hyfE
hyfR	hyfD
hyfR	hyfC
hyfR	hyfB
hyfR	hyfG
iclR	aceK
iclR	aceB
iclR	aceA
idnR	gntU
idnR	idnO
idnR	idnD
idnR	idnT
idnR	idnK
idnR	gntK
ihfB	hipB
ihfB	hipA
ihfB	hycA
ihfB	hycB
ihfB	hycC
ihfB	hycD
ihfB	hycE
ihfB	hycF
ihfB	hycG
ihfB	hycH
ihfB	hypA
ihfB	hypB
ihfB	hypC
ihfB	hypD
ihfB	hypE
ihfB	ilvA
ihfB	ilvD
ihfB	ilvE
ihfB	ilvM
ihfB	mtr
ihfB	narG
ihfB	narH
ihfB	narI
ihfB	narJ
ihfB	narK
ihfB	ndh
ihfB	nirB
ihfB	nirC
ihfB	nirD
ihfB	ompC
ihfB	ompF
ihfB	pflB
ihfB	pstS
ihfB	phoU
ihfB	prfA
ihfB	pspA
ihfB	pspB
ihfB	pspC
ihfB	pspD
ihfB	pspE
ihfB	pstA
ihfB	pstB
ihfB	pstC
ihfB	rpoH
ihfB	sodA
ihfB	sodB
ihfB	sucA
ihfB	sucB
ihfB	sucC
ihfB	sucD
ihfB	tdcA
ihfB	tdcB
ihfB	tdcC
ihfB	tyrP
ihfB	tdcD
ihfB	focA
ihfB	ilvL
ihfB	dusB
ihfB	ubiC
ihfB	ubiA
ihfB	sufE
ihfB	sufS
ihfB	sufD
ihfB	sufC
ihfB	sufB
ihfB	norV
ihfB	hycI
ihfB	glcA
ihfB	glcG
ihfB	glcE
ihfB	glcD
ihfB	ygjG
ihfB	tdcG
ihfB	tdcF
ihfB	tdcE
ihfB	dcuD
ihfB	rtcA
ihfB	rtcB
ihfB	ulaG
ihfB	ulaA
ihfB	ulaD
ihfB	ulaE
ihfB	ulaF
ihfB	ilvX
ihfB	osmE
ihfB	carA
ihfB	carB
ihfB	cysG
ihfB	cysH
ihfB	cysI
ihfB	cysJ
ihfB	dmsA
ihfB	dmsB
ihfB	dmsC
ihfB	dppA
ihfB	envZ
ihfB	fhlA
ihfB	fimA
ihfB	fimB
ihfB	fimC
ihfB	fimD
ihfB	fimF
ihfB	fimG
ihfB	fimH
ihfB	folA
ihfB	gcd
ihfB	glnH
ihfB	glnP
ihfB	glnQ
ihfB	glpQ
ihfB	glpT
ihfB	gltA
ihfB	gltB
ihfB	gltD
ihfB	hemA
ihfB	ihfA
ihfB	nrfC
ihfB	nrfD
ihfB	nrfE
ihfB	nrfF
ihfB	nrfG
ihfB	htrE
ihfB	ecpD
ihfB	fimI
ihfB	yeiL
ihfB	nuoA
ihfB	nuoB
ihfB	nuoC
ihfB	nuoE
ihfB	nuoG
ihfB	nuoH
ihfB	nuoI
ihfB	nuoJ
ihfB	nuoK
ihfB	nuoL
ihfB	nuoN
ihfB	hemF
ihfB	uspB
ihfB	yiaJ
ihfB	yiaK
ihfB	yiaL
ihfB	yiaM
ihfB	yiaN
ihfB	yiaO
ihfB	lyxK
ihfB	sgbH
ihfB	sgbU
ihfB	sgbE
ihfB	ssuB
ihfB	prmC
ihfB	norW
ihfB	ulaB
ihfB	ulaC
ihfB	caiE
ihfB	dppB
ihfB	dppC
ihfB	dppD
ihfB	dppF
ihfB	glcB
ihfB	hpt
ihfB	glcF
ihfB	glmY
ihfB	ssuC
ihfB	ssuD
ihfB	ssuA
ihfB	ssuE
ihfB	maoC
ihfB	paaA
ihfB	paaB
ihfB	paaC
ihfB	paaD
ihfB	paaE
ihfB	paaF
ihfB	paaG
ihfB	paaH
ihfB	paaI
ihfB	paaJ
ihfB	paaK
ihfA	ompF
ihfA	pflB
ihfA	pstS
ihfA	phoU
ihfA	prfA
ihfA	pspA
ihfA	pspB
ihfA	pspC
ihfA	pspD
ihfA	pspE
ihfA	pstA
ihfA	pstB
ihfA	pstC
ihfA	rpoH
ihfA	sodA
ihfA	sodB
ihfA	sucA
ihfA	sucB
ihfA	sucC
ihfA	sucD
ihfA	tdcA
ihfA	tdcB
ihfA	tdcC
ihfA	tyrP
ihfA	tdcD
ihfA	focA
ihfA	ilvL
ihfA	dusB
ihfA	ubiC
ihfA	ubiA
ihfB	aceA
ihfB	aceB
ihfB	aceK
ihfB	sufA
ihfB	uspA
ihfB	osmY
ihfB	dps
ihfB	acs
ihfB	adiA
ihfB	sra
ihfB	gltF
ihfB	ibpB
ihfB	caiD
ihfB	caiC
ihfB	caiB
ihfB	caiA
ihfB	caiT
ihfB	atoD
ihfB	atoA
ihfB	atoE
ihfB	atoB
ihfB	nuoM
ihfB	nuoF
ihfB	nrfA
ihfB	amiA
ihfB	yjbE
ihfB	yjbF
ihfB	yjbG
ihfB	yjbH
ihfB	pspG
ihfB	actP
ihfB	yjcH
ihfB	nrfB
ihfA	carB
ihfA	cysG
ihfA	cysH
ihfA	cysI
ihfA	cysJ
ihfA	dmsA
ihfA	dmsB
ihfA	dmsC
ihfA	dppA
ihfA	envZ
ihfA	fhlA
ihfA	fimA
ihfA	fimB
ihfA	fimC
ihfA	fimD
ihfA	fimF
ihfA	fimG
ihfA	fimH
ihfA	folA
ihfA	gcd
ihfA	glnH
ihfA	glnP
ihfA	glnQ
ihfA	glpQ
ihfA	glpT
ihfA	gltA
ihfA	gltB
ihfA	gltD
ihfA	hemA
ihfA	ihfB
ihfA	hipB
ihfA	hipA
ihfA	hycA
ihfA	hycB
ihfA	hycC
ihfA	hycD
ihfA	hycE
ihfA	hycF
ihfA	hycG
ihfA	hycH
ihfA	hypA
ihfA	hypB
ihfA	hypC
ihfA	hypD
ihfA	hypE
ihfA	ilvA
ihfA	ilvD
ihfA	ilvE
ihfA	ilvM
ihfA	mtr
ihfA	narG
ihfA	narH
ihfA	narI
ihfA	narJ
ihfA	narK
ihfA	ndh
ihfA	nirB
ihfA	nirC
ihfA	nirD
ihfA	ompC
ihfA	sgbE
ihfA	ssuB
ihfA	prmC
ihfA	norW
ihfA	ulaB
ihfA	ulaC
ihfA	caiE
ihfA	dppB
ihfA	dppC
ihfA	dppD
ihfA	dppF
ihfA	glcB
ihfA	hpt
ihfA	glcF
ihfA	glmY
ihfA	ssuC
ihfA	ssuD
ihfA	ssuA
ihfA	ssuE
ihfA	maoC
ihfA	paaA
ihfA	paaB
ihfA	paaC
ihfA	paaD
ihfA	paaE
ihfA	paaF
ihfA	paaG
ihfA	paaH
ihfA	paaI
ihfA	paaJ
ihfA	paaK
ihfA	sufE
ihfA	sufS
ihfA	sufD
ihfA	sufC
ihfA	sufB
ihfA	norV
ihfA	hycI
ihfA	glcA
ihfA	glcG
ihfA	glcE
ihfA	glcD
ihfA	ygjG
ihfA	tdcG
ihfA	tdcF
ihfA	tdcE
ihfA	dcuD
ihfA	rtcA
ihfA	rtcB
ihfA	ulaG
ihfA	ulaA
ihfA	ulaD
ihfA	ulaE
ihfA	ulaF
ihfA	ilvX
ihfA	osmE
ihfA	carA
ihfA	aceA
ihfA	aceB
ihfA	aceK
